url,owner,data_type,publication_or_issue_time,last_update_time,expiry_time,update_frequency,license,geographic_coverage,reliability,result_for_yangon
https://www.rrdmyanmar.gov.mm/,Myanmar Department of Disaster Management / Relief and Resettlement Department,Official disaster situation reports and management information,Not available,Not available,Not available,Event-driven; public schedule not stated,No open-data license found,Myanmar,official,Site timed out; no verified current shelter list extracted
https://www.moezala.gov.mm/en/forecast/132523,Myanmar Department of Meteorology and Hydrology,Daily weather forecast / severe-weather conditions,2026-08-17T16:00:00+06:30,2026-08-17T19:00:00+06:30,Exact time not stated; forecast valid until morning of 2026-08-18,Several times daily,No open-data license; site footer says all rights reserved,Myanmar; includes Yangon and neighbouring area,official,"Included as current severe-weather forecast, severity unknown"
https://www.moezala.gov.mm/en/cyclone-warning,Myanmar Department of Meteorology and Hydrology,Cyclone / low-pressure warnings,Latest listed item found: 2026-08-13T07:00:00+06:30,Not stated,Not stated,Event-driven,No open-data license; site footer says all rights reserved,Myanmar and Bay of Bengal,official,No verified current Yangon cyclone warning found
https://www.redcross.org.mm/,Myanmar Red Cross Society,"Humanitarian response reports, evacuation support and relief",Varies by report,Not stated for a Yangon shelter dataset,Not stated,Event-driven,Website says all rights reserved; no dataset license found,Myanmar,humanitarian,"No named, geocoded current Yangon shelter list found"
https://go.ifrc.org/field-reports/18516,IFRC GO / Myanmar Red Cross Society,Flood field report and humanitarian needs,2026-08-05 (source gives date only),Not stated,Not stated,Event-driven,No record-level open-data license found,Myanmar flood operation; no usable Yangon shelter coordinates,humanitarian,Not imported; no current named Yangon shelter records
https://themimu.info/emergencies/general,Myanmar Information Management Unit (MIMU),"Emergency pages, situation reports and maps",Varies by product,Current site index checked 2026-08-17,Varies by product,Frequent during emergencies,Product-specific; no license inferred,Myanmar,humanitarian,Direct emergency pages intermittently returned 403; no current Yangon record extracted
https://data.humdata.org/dataset/cod-ab-mmr,OCHA Field Information Services Section (FISS),"Administrative boundaries, levels 0–5",Valid for humanitarian use from 2024-02-15,2026-08-14T07:18:52.598123 (source timezone not stated),None stated,Periodic/review-based,CC BY 3.0 IGO / CC BY-IGO,Myanmar; Yangon Region MMR013 used here,humanitarian reference,Used only as the region boundary / coverage envelope
https://data.humdata.org/dataset/geodata-of-flood-waters-near-city-of-yangon-myanmar-august-10-2015,United Nations Satellite Centre (UNOSAT),Satellite-detected flood-water polygons,Imagery 2015-08-09; dataset date 2015-08-10,HDX metadata modified 2025-11-21 (timezone not stated),Historical; stale for current response,Archived one-off activation,HDX license field: Other; no license URL,South of Yangon / Yangon River delta,"humanitarian scientific, medium confidence",Not imported into current hazards; not field validated and historical
https://earthquake.usgs.gov/earthquakes/eventpage/us6000ta1y,U.S. Geological Survey Earthquake Hazards Program,Earthquake event catalog / GeoJSON API,2026-07-04T00:21:06.565000+00:00,2026-07-06T14:04:20.526000+00:00,No source expiry; marked stale in snapshot,Real-time feeds updated every minute,U.S. Public Domain; attribution requested,Global; spatially filtered to Yangon Region,scientific,Latest catalog event inside region included as historical incident
https://www.gdacs.org/report.aspx?episodeid=14&eventid=1104011&eventtype=FL,GDACS / European Commission JRC / UN cooperation framework,Global disaster alert; Myanmar flood FL 1104011,2026-07-04T01:00:00 (API timezone not stated),2026-08-17T05:50:37 (API timezone not stated),Event ended 2026-08-13T01:00:00 (API timezone not stated),Feeds approximately every 6 minutes,GDACS disclaimer/terms; no open license inferred,"Myanmar; centroid 94.6075,20.318, outside Yangon Region",scientific humanitarian alert,Excluded: stale event and centroid outside Yangon Region
https://mapping.emergency.copernicus.eu/activations/EMSR798/,Copernicus Emergency Management Service,Rapid mapping for 2025 Myanmar earthquake,Activation 2025-03-28T09:42:00+00:00,Activation closed; exact page update not stated,Historical/closed activation,Event-driven activations,"CEMS free, full and open access subject to terms and citation requirements",Myanmar earthquake areas of interest; no current Yangon activation found,scientific humanitarian mapping,Not imported; historical and no verified current Yangon product
https://www.fsd.gov.mm/news-detail/1760,Myanmar Fire Services Department,Official road obstruction and clearance report,2026-08-16T07:07:00+06:30,Clearance completed 2026-08-16T07:48:00+06:30,2026-08-16T07:48:00+06:30,Event-driven,No open-data license found; site copyright applies,"Yangon–Pyay Road, Taikkyi Township, Yangon Region",official,Included as resolved/stale obstruction with null geometry
https://www.gnlm.com.mm/ybs-bus-catches-fire-near-sanpya-market/,"Global New Light of Myanmar, citing Myanmar Fire Services Department",Officially sourced fire incident report,Incident 2026-07-30T06:45:00+06:30,Extinguished 2026-07-30T06:57:00+06:30,2026-07-30T06:57:00+06:30,Event-driven,No open-data license found; site copyright applies,"Thingangyun Township, Yangon Region",official report,Included as stale fire incident with null geometry
https://www.openstreetmap.org/copyright,OpenStreetMap contributors / OpenStreetMap Foundation,"Crowdsourced roads, buildings and public facilities",Continuously edited,Not queried for this snapshot,None,Continuous,ODbL 1.0; attribution and share-alike requirements,Global,crowdsourced,Not used to label any shelter or to infer safe routes
